symbol,method,impulse_min_bps,latency_ms,bar_ms,n_events,mean_gross_bps,best_hour_gross_bps,mean_net_bps,best_hour_net_bps,follow_through,positive_hours,med_slip_bps,pass_candidate
BTCUSDT,event,3.0,80,50,1193,2.297,3.725,-9.224,-7.796,0.827,0,0.521,False
BTCUSDT,bar,3.0,80,50,1468,1.321,2.008,-10.2,-9.513,0.71,0,0.521,False
BTCUSDT,event,3.0,80,100,1509,1.226,2.183,-10.295,-9.338,0.698,0,0.521,False
BTCUSDT,bar,3.0,80,100,1655,0.851,1.415,-10.67,-10.106,0.636,0,0.521,False
BTCUSDT,event,3.0,150,50,1193,2.459,4.031,-9.061,-7.49,0.812,0,0.521,False
BTCUSDT,bar,3.0,150,50,1468,1.352,2.209,-10.169,-9.312,0.705,0,0.521,False
BTCUSDT,event,3.0,150,100,1509,1.339,2.474,-10.182,-9.047,0.685,0,0.521,False
BTCUSDT,bar,3.0,150,100,1655,0.865,1.553,-10.656,-9.968,0.635,0,0.521,False
BTCUSDT,event,3.0,250,50,1193,2.487,3.782,-9.033,-7.739,0.816,0,0.521,False
BTCUSDT,bar,3.0,250,50,1468,1.373,2.592,-10.147,-8.929,0.679,0,0.521,False
BTCUSDT,event,3.0,250,100,1509,1.339,2.171,-10.182,-9.35,0.691,0,0.521,False
BTCUSDT,bar,3.0,250,100,1655,0.924,1.55,-10.597,-9.971,0.63,0,0.521,False
BTCUSDT,event,5.0,80,50,296,3.651,10.101,-7.87,-1.42,0.855,0,0.521,False
BTCUSDT,bar,5.0,80,50,330,2.098,10.069,-9.423,-1.451,0.691,0,0.521,False
BTCUSDT,event,5.0,80,100,356,1.916,4.317,-9.605,-7.204,0.705,0,0.521,False
BTCUSDT,bar,5.0,80,100,370,1.27,2.332,-10.251,-9.189,0.63,0,0.521,False
BTCUSDT,event,5.0,150,50,296,3.805,10.148,-7.716,-1.372,0.814,0,0.521,False
BTCUSDT,bar,5.0,150,50,330,2.181,10.432,-9.34,-1.088,0.715,0,0.521,False
BTCUSDT,event,5.0,150,100,356,2.1,4.27,-9.421,-7.25,0.671,0,0.521,False
BTCUSDT,bar,5.0,150,100,370,1.201,3.35,-10.32,-8.17,0.624,0,0.521,False
BTCUSDT,event,5.0,250,50,296,3.854,10.432,-7.667,-1.088,0.845,0,0.521,False
BTCUSDT,bar,5.0,250,50,330,2.11,9.201,-9.41,-2.319,0.715,0,0.521,False
BTCUSDT,event,5.0,250,100,356,2.054,4.286,-9.467,-7.235,0.691,0,0.521,False
BTCUSDT,bar,5.0,250,100,370,1.168,4.363,-10.353,-7.157,0.608,0,0.521,False
BTCUSDT,event,8.0,80,50,76,5.787,13.616,-5.734,2.095,0.882,2,0.521,False
BTCUSDT,bar,8.0,80,50,72,4.049,11.406,-7.472,-0.115,0.778,0,0.521,False
BTCUSDT,event,8.0,80,100,74,4.241,16.66,-7.28,5.139,0.865,3,0.521,True
BTCUSDT,bar,8.0,80,100,78,3.128,10.097,-8.393,-1.424,0.769,0,0.521,False
BTCUSDT,event,8.0,150,50,76,6.25,16.665,-5.271,5.144,0.829,3,0.521,True
BTCUSDT,bar,8.0,150,50,72,4.299,10.097,-7.222,-1.424,0.806,0,0.521,False
BTCUSDT,event,8.0,150,100,74,4.745,16.665,-6.776,5.144,0.784,3,0.521,True
BTCUSDT,bar,8.0,150,100,78,2.957,8.305,-8.564,-3.216,0.769,0,0.521,False
BTCUSDT,event,8.0,250,50,76,6.491,14.373,-5.03,2.852,0.882,2,0.521,False
BTCUSDT,bar,8.0,250,50,72,4.09,11.456,-7.431,-0.065,0.847,0,0.521,False
BTCUSDT,event,8.0,250,100,74,4.771,15.29,-6.749,3.77,0.865,2,0.521,False
BTCUSDT,bar,8.0,250,100,78,3.09,8.009,-8.431,-3.512,0.731,0,0.521,False
BTCUSDT,event,12.0,80,50,19,9.205,18.319,-2.316,6.798,0.947,3,0.521,True
BTCUSDT,bar,12.0,80,50,19,7.114,19.617,-4.407,8.097,0.895,2,0.521,False
